"HolderAddress","Balance","PendingBalanceUpdate"
"0x5d40c724ba3e7ffa6a91db223368977c522bdacd","8937679.04534211","No"
"0x25756f9c2cceacd787260b001f224159ab9fb97a","17947000.5153752","No"
"0x543a59743fe2967553512166f739c965ecd78763","5.37591333361123","No"
"0xb0fb35cc576034b01bed6f4d0333b1bd3859615c","187060.776964142","No"
"0xb08f5c12d50e775d360b600da766b0b77aa1c886","5.63E-16","No"
"0x693c188e40f760ecf00d2946ef45260b84fbc43e","1E-18","No"
"0xc0e4c5a33ccd4c286fd64b91cdca42e2a59a68d7","7.00343926343976","No"
"0x93f5af632ce523286e033f0510e9b3c9710f4489","200.786666387235","No"
"0xdb6f47e34ea7b6b4095009e90dfa91d39fbc5cc0","8000","No"
"0x86996bc32795ac8718436d875d9e8b913c901913","2403.71984702634","No"
"0x1ca48a32482ef29708e95f248e8a613f05782ed3","31703.9789547614","No"
"0x80c53d18c9769aef7be2c574308615c53ab8aad5","112995.791417795","No"
"0xdabbe70990a344805f89ac6712de73f33cd3a7d6","12500.003106398","No"
"0x0cac9c3d7196f5bbd76fadcd771fb69b772c0f9d","118271.294949492","No"
"0xe79c6b51ec3a89a5f0b4ca89ea8e7728f6a4d2a3","4481.90346333121","No"
"0x0c17f4ac96d914e4a224f1377cba132fcd8b8ded","76000","No"
"0xaaadaa1807a94c1995fd3404f39d5bb289114b1c","384.794305868994","No"
"0xffc02940b6f297bb3aaca6d790f65c1d28e891f7","1024","No"
"0x1baf797c20c09229ae9f62a6eba2201a7150b989","15000","No"
"0xc0ae13c8c7f74cc06d13449de97bc25bf85ceac1","10596.8086463893","No"
"0xc2d14c396822ba325aa8c8d0f6213828cb69d925","19960.7866341879","No"
"0x18db5c1b33d7796caea49881b8eaca874052c107","500","No"
"0x5c0a543f09c67fb0850db0bf4475ac614a60bcb2","5460","No"
"0xc3f6e18b429b6baf1bd31b1e504aee7827c7aab5","4666.96067135481","No"
"0x7d7ad5806dfe5f470a7842c1cb2621b03a3308b5","22500.0524624612","No"
"0xbf62145619d796a72469bf33fb252f9c752378da","105","No"
"0x6b12d3f2244c3e3fa3bd921fa9871ce74f6f75a2","5850","No"
"0x2b9c770ee37b9193faac8fbfc4b78635ddedb175","6351.73205793119","No"
"0xcf95a048bcf6b71f326fb8a1bb6071de525ed5ab","1000","No"
"0xed427fc176dc0f8ae6d2e9f82436fa6c8e9972ef","20215.3516774392","No"
"0x1538dd3c19d3122d94c72ac35ed6b4b54cff93e9","120442.4","No"
"0x1056270360ef979dbc3cf5fe940f88640d08861d","116561.887098517","No"
"0xc701bd908bf4a14e12734f60b451ec2c99eb0f0a","5000.0000641463","No"
"0x26bc7daff54a8fe4d385c37d6d56b0400a66aa0e","9.9562031365E-08","No"
"0xccb92a7e6688601da80e2c454d1ff52f69505907","62106.912221667","No"
"0xa7a0f61c5c255bcbf9528fc2ad01b6138e41c5ca","1366.91913569337","No"
"0xaff83b1b9f51f531e76bb381764a48e12a57ab2c","62104.9","No"
"0x3d97891fdfdf60042ec5d432dde5b04105c28d1c","845","No"
"0x5bca7d4a63b9b2a70b40bf412bbf94606722ffb7","216.918","No"
"0x10a16b7db111ff443e789361298ac1aa1ff32f52","13075.5605107097","No"
"0x2d92e5adee27aed0c7ecb67a187e48e13f7b81bb","1200.97659098312","No"
"0xee5e749689bc16778af3f3c274ae14099a83a8cd","1001.4755094359","No"
"0xf10d1406aead0101649a0b95d1891b92d05c75bb","750","No"
"0x47a98e905e6915ab06202ad405f1c51f667120b2","71326.0903088776","No"
"0x498b01e533be7c65826a37408f8795c0df693b76","1.467E-15","No"
"0x335f4f538c9d2b41f89b8b6fd2acb171a6b608ed","145.439461148161","No"
"0xf0c354be729690674a6544d59bd595bd0d8d297c","9170.43503301172","No"
"0x20e5ac3db9c2e303dccd1fcd9fd4a78b38d34fa1","8770.29480816221","No"
"0xc91348619600b50ddebebf24a22a925f56b66209","2898.1545","No"
"0xb5f522db959e9d8e5976274e9a25d29b0219f312","2187.93598150165","No"
"0x086f51fced9ff6c742d706c319112359e3658b08","3727.74299504411","No"
"0x0876e4a2ea5ec076b03e93543036f71552a84ede","4262.8118","No"
"0x60419e5ee8ca2a3d6bcbabf664588fa18e254f65","3002.40095995044","No"
"0x920722cc1e3f2b63d8de735a2645cd6fe625241a","910.413995628616","No"
"0x79a390924d8837340c09808e9bfaf8d4f866a213","167.432181065247","No"
"0xc784aa191b4562d4ae860b851461d7fac80acf33","5.59214224067607","No"
"0x4c4d6fb5234e748f9d8782e37e686fbfe52dc765","20","No"
"0x7ff8a323fca1a6d3588ed7c72bd8fa05a4b5ede1","0.545","No"
"0xa2c2152f38a914f5c52dc256b35c0f30aa1b0720","1332.59167","No"
"0xbdd6f766f7fb7ca9c5d398707da0b1e490dbccb6","9592.21111583175","No"
"0x01fc336274c2523c23e42af24e91ec0172bafac9","12402.7521002928","No"
"0xd03614c920a0c334b842320999398e1387791bf8","77320.9187665983","No"
"0x4e5912bbdb07d4f054828e66d14534801a283ff4","5101.1844","No"
"0x404c1aa9e136cbb0f909ff2519838ea44ccd6455","776.345292685533","No"
